type,author_key,person_id,female,note
identity,杨芸,54567,,"杨芸:清代女作者,1774-1830,字蕊渊。CBDB 同键 54567 为女性清人,余为明男性。"
identity,邓瑜,55921,,"邓瑜:清代女作者,1843-1901,号蕉窗主人。CBDB 同键 55921 为女性清人,余为清/明男性。"
identity,顾翎,54589,,"顾翎:清代女词人,1778-1849,字羽素。CBDB 同键 54589 为女性清人,余为明男性。"
identity,江瑛,54938,,"江瑛:清代女作者,1836-1874,字蕋珊。CBDB 同键 54938 为女性清人,余为明男性。"
identity,孙云鹤,55335,,"孙云鹤:清代女作者,1766-1816,ALTNAME 仙品/兰友。CBDB 同键 55335 为女性清人,余为明男性。"
identity,吴茝,54855,,"吴茝:清代女作者,1838-1874,字佩纕/紉之。CBDB 同键 54855 为女性清人,余为清男性。"
identity,陆珊,54644,,"陆珊:清代女作者,1820-1862,字佩琄/珊珊。CBDB 同键 54644 为女性清人,余为清男性。"
identity,晁采,94253,,"晁采:唐代女子,ALTNAME 试莺,《子夜歌》寄文茂事。CBDB 同键 94253 为女性(唐),另一候选性别空。"
gender,张玉娘,106978,1,"张玉娘:宋末元初松阳女诗人,字若琼,号一贞居士,《兰雪集》,沈张之盟本主。CBDB 106978 记为男性(c_female=0;库中「未标」另作 NULL、schema 列默认亦 NULL,故此 0 系被记为男而非缺省未填),但同条籍贯松阳、ALTNAME 若琼/一贞居士、Wikidata Q28409186 均指向女诗人张玉娘,据文献订正 female=1;另 47048 为同人重复宋档。"
identity,张玉娘,106978,,"张玉娘:同上。CBDB 同键 47048(宋)与 106978(元)疑同人重复;语料标元且正名精确匹配,取 106978,配套 gender override 订正其 c_female=0。"
gender,孙道绚,48658,1,"孙道绚:宋代建安(今福建建瓯)女词人,号冲虚居士,黄铢之母,存词六首(赵万里辑本八首)。CBDB 48658 记为男性(c_female=0;「未标」另作 NULL,此 0 系被记为男而非缺省),但 KIN_DATA 自相矛盾:孙道绚档记黄铢(16304)为子(code 180/子)、黄铢档记孙道绚为母(code 111/母),且黄铢 c_female=0(男)——男子之母必为女性,据此订正 female=1。"
identity,冯小青,566167,,"冯小青:明万历间扬州才女,名玄玄字小青,幽禁杭州西湖孤山,约1595–1612,年十八卒;《焚馀》诗草传世,《无题》(「冷雨幽窗不可听,挑灯闲看牡丹亭」)题《牡丹亭》。CBDB 两女·明重复档:566167(籍揚州府,ALTNAME 馮玄玄,《闺海吟》上册)与 118867(ALTNAME 小青,MQWW #2973/《名媛诗纬》);据揚州籍+本名玄玄取 566167,118867 系同人重复档。⚠️真实性/归属存疑:其人其诗自明清即有真伪争议——张潮《虞初新志·小青传》评语引「或谓原无其人,合『小青』二字乃『情』字」之说,复引《紫云歌》序「冯紫云为小青女弟」为「似实有其人」之证,终「姑阏疑焉」;另有拟作、伪托诸说(一说系钱谦益《列朝诗集》,待原本复核)。现代考辨(潘光旦《冯小青考》1935)多论其影恋心理而未定其诗之真。存世《焚馀》诗草(据《虞初新志》本:古诗1/绝句9/《天仙子》词1/附绝句1)诸本文字亦有异(如「瘦影自临春水/秋水照」)。本站暂按传统归属列名,均标「传为其作」,不作确证女性作者统计依据。"
